sample_id,question,generated_answer,ground_truth,processing_time,contexts_count,search_method,detected_sensors,metadata_filtering_enabled,faithfulness,answer_relevancy,context_precision,context_recall
1,What is the battery life of the Advantech EVA-2311 sensor and under what conditions is this achieved?,The battery life of the Advantech EVA-2311 sensor can last up to 5 years when operating at a temperature of 25°C with a 15-minute interval setting for data transmission.,"The Advantech EVA-2311 sensor has a battery life of up to 5 years, achieved with a 15-minute data transmission interval at 25°C.",3.045119285583496,5,multi_sensor_filtered,EVA-2311,True,1.0,0.97,0.5,1.0
2,What is the full temperature detection range of the EVA-2311 sensor?,The full temperature detection range of the EVA-2311 sensor is -70°C to 200°C.,The temperature detection range for the Advantech EVA-2311 is -70°C to 200°C.,4.812011480331421,5,multi_sensor_filtered,EVA-2311,True,1.0,1.0,0.7,1.0
3,What wireless communication technology does the EVA-2311 use?,The EVA-2311 uses LoRaWAN wireless communication technology.,The EVA-2311 sensor uses LoRaWAN wireless communication technology.,2.2571094036102295,5,multi_sensor_filtered,EVA-2311,True,1.0,1.0,0.7,1.0
4,What is the accuracy of the Advantech EVA-2311 when the host and sensor are in the same environment?,The accuracy of the Advantech EVA-2311 when the host and sensor are in the same environment is ±0.8°C between 0°C and 55°C.,The accuracy of the Advantech EVA-2311 is ±0.8°C between 0°C and 55°C when the host and sensor are in the same environment.,3.2790005207061768,5,multi_sensor_filtered,EVA-2311,True,0.5,1.0,1.0,1.0
5,What are the available LoRaWAN frequency bands for the EVA-2311?,"The available LoRaWAN frequency bands for the EVA-2311 are:

- US 902-928 MHz
- EU 863-870 MHz
- AS 919-924 MHz
- AU 915-928 MHz","The EVA-2311 supports EU 863-870, US 902-928, AU 915-928, and AS 919-924 MHz frequency bands.",2.8239920139312744,5,multi_sensor_filtered,EVA-2311,True,1.0,1.0,1.0,1.0
6,What is the length of the probe cable for the EVA-2311?,The length of the probe cable for the EVA-2311 is 2 meters.,The Advantech EVA-2311 probe cable is 2000 mm long.,3.121396064758301,5,multi_sensor_filtered,EVA-2311,True,1.0,1.0,0.833,1.0
7,What are the storage temperature and humidity limits for the EVA-2311?,"The storage temperature limits for the EVA-2311 are -40°C to 85°C, and the storage humidity limits are 0% to 90% RH.",The storage limits for the EVA-2311 are -40°C to 85°C and 0% to 90% RH.,2.8075101375579834,5,multi_sensor_filtered,EVA-2311,True,1.0,1.0,1.0,1.0
8,What type of temperature probe does the EVA-2311 use?,The EVA-2311 uses a PT1000 round head probe for temperature measurement.,The Advantech EVA-2311 uses a PT1000 probe.,2.289750337600708,5,multi_sensor_filtered,EVA-2311,True,1.0,0.984,0.367,1.0
9,What is the transmit power of the Advantech EVA-2311?,The transmit power of the Advantech EVA-2311 is up to 20dBm.,The transmit power of the Advantech EVA-2311 is up to 20dBm.,2.123284339904785,5,multi_sensor_filtered,EVA-2311,True,0.0,1.0,1.0,1.0
10,What is the accuracy formula for different environments between -70°C and 0°C?,"The accuracy formula for different environments between -70°C and 0°C is given by:

±{(0.15 + 0.002 * |T2|) + 1}°C

where |T2| is the absolute value of the temperature being measured.",The accuracy of the EVA-2311 in different environments between -70°C and 0°C is ±{(0.15 + 0.002 * |T2|) + 1}°C.,2.653817653656006,5,metadata_filtered_legacy,none,True,0.5,1.0,1.0,1.0
